Title,Description,Tagline,Google Address,Phone,Email,Website,Twitter,Facebook,Linkedin,Youtube,Instagram,Youtube Video URL,Claim Status,Faq Question (sep. by pipe sign | ),Faq Answer (sep. by pipe sign | ),Gallery,"Business Hours (Day,OpenTime,CloseTime)",Category,Features,Tags (Keywords),Location
Subway,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ","Breakfast, Sandwiches, Salads & More","2200 W 35th St, Bldg 58, Austin, TX 78703",(512) 371-7058,john@doe.com,subway.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,Not claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media1.fl.yelpcdn.com/bphoto/-f4IIZQ0t7eQ-6rpGvkmmQ/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/ph79RO_Rh-_ftlkTDUrK-Q/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/u9nhibkmDBo_wGuH6eRtmw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Lzk2AeLRrVpSgqCddPmaow/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/5cdnAsc_pYyUTOsFffFDhQ/o.jpg","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:00 ","Sandwiches,Desserts,Fast Food","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Sandwiches,Desserts,Fast Food",Austin
Taco Shack,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"402 Brazos St, Austin, TX 78701",(512) 473-0101,john@doe.com,tacoshack.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,Not claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://igx.4sqi.net/img/general/width960/2051018_KtrDImiXleCWRxDiDXrf7_nozg20vfHxxhfIir2fAwI.jpg,https://igx.4sqi.net/img/general/width960/NqXpcFaA5IaeAv6w1-QrdIwgbbqNhqXgo824HfNyYcE.jpg,https://igx.4sqi.net/img/general/width960/3pigrvsAI6KsOwEFbSAmUm7IvfPVVN5RW6jPhqDyTXQ.jpg,https://igx.4sqi.net/img/general/width960/C2GVRW5SUP24PH3YZHXTW3BK52IJE2PIBC1AH4IBKJKJJPTX.jpg,https://igx.4sqi.net/img/general/width960/65127_ytfep4B3RMMktMlS940aSZnZa6_sqFBSyze7z55nInU.jpg,https://igx.4sqi.net/img/general/width960/18717611_eAvwDKsotQLkR-7uJOrU-TjtxV27hkR_rh1p-I0pTCE.jpg","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:01","Mexican,
Fast Food","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Mexican,
Fast Food",Austin
La Famiglia Giorgio�s,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"112 Salem St, Boston, MA 02113",(617) 367-6711,john@doe.com,lafamigliagiorgio.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media3.fl.yelpcdn.com/bphoto/hVhU1NfJ4aCPd-s4tfKPgA/o.jpg,https://igx.4sqi.net/img/general/width960/1884062_FcAlcpcaaRHREJHt8KAzdb5UPt8INYh-D6jk0xJD7_Q.jpg,https://igx.4sqi.net/img/general/width960/1303286_GbwjAwlO3YGwD9wrlrBKPR64UBN1sC3K9TqvKaKvSLM.jpg,https://igx.4sqi.net/img/general/width960/69534261_igDcW_1asXSVUmMgihj8hdkqG5TxlTxH6eCmz60dRZM.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/46FdnmSEHPm7i8DxpXQAWQ/o.jpg","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:02","Italian,
Pizza","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Italian,
Pizza",Boston
Da Vinci,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"162 Columbus Ave, Boston, MA 02116",(617) 350-0007,john@doe.com,davinciboston.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media1.fl.yelpcdn.com/bphoto/NU-4e7rRx4MbgPjzAEUG8Q/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/ouU9_-VCfGuHvvHKZFNJxg/o.jpg,https://s3-,media2.fl.yelpcdn.com/bphoto/RgSbKuFGvSAvaBJPBsZvRg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/ysmDiSdFfWUMX0cXtuITQg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/bSuZu6-OWGWhFMdDmhRcRg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/aTR8KbuzvBeObn-uuujNMg/o.jpg","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:03",Italian,"Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking",Italian,Boston
Beef Shack,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"1056 W Belmont Ave, Chicago, IL 60657",(773) 472-2333,john@doe.com,beefshack.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media1.fl.yelpcdn.com/bphoto/6wGH-VJmLruqh4schHaXqw/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/_rccyOLceGEzvSgKJf856w/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/6Lx1EPuUJzkP5g8XIlx8JA/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/7dr0MQDRJmue7bVIrkqaYA/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/kACjazlnR6vcsjeLIcnfNQ/o.jpg","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:04","Hot Dogs,
Burgers,
Fast Food","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Hot Dogs,
Burgers,
Fast Food",Chicago
Stone Grill,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"2113 S State St, Chicago, IL 60616",(312) 326-1111,john@doe.com,listingprowp.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,Not claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media4.fl.yelpcdn.com/bphoto/Y0xwcNcFXNUxq1uQOf4tog/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/t5TOWDekkMPAn54w6WeXTA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/Rr1vvsGTDK0EvkMUiBAI6A/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/MBM9f2CtWtdPdObqGJd8pw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/AWIzN4clxLLyi3qvqy-p_w/o.jpg","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:05","Fast Food,
Burgers","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Fast Food,
Burgers",Chicago
Illegal Pete�s,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"1530 16th St, Ste 101, Denver, CO 80202",(303) 623-2169,john@doe.com,illegalpetes.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,Not claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media4.fl.yelpcdn.com/bphoto/wIYu1bIsL8JSqVWUqQy9wA/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/ea314ODcf7BV2XaJslK78A/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/mTfQ1uHJ-wL8BUB2ThCxXw/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/tmw_xdvyCoF-A_YZka-bqg/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/nvK4n9GIKFhYLVHddO1EBg/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/1wGUgN0_W4LddzJME16eqw/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/EmilKsfrLIWow2qUwT14IQ/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/aQghdZGu-6MNXIvIIYfvPQ/348s.jpg,","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:06","Bars,
Fast Food,
Mexican","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Bars,
Fast Food,
Mexican",Denver
Five On Black,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"1617-A California St, Denver, CO 80202",(720) 904-5505,john@doe.com,fiveonblack.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media2.fl.yelpcdn.com/bphoto/C_9-yNyRu3Wk_opTK67XRg/348s.jpg,
https://s3-media2.fl.yelpcdn.com/bphoto/3aabQsnFfFH_D1yJk-77jQ/348s.jpg,
https://s3-media2.fl.yelpcdn.com/bphoto/v_8U-H8MbbKwazN9kNi7EQ/348s.jpg,
https://s3-media1.fl.yelpcdn.com/bphoto/fMbZaMs6BO1EqYYrLFQBjQ/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/he1yPfBVlt83LJV_cMMxdQ/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/zfTgOioZ6GlKI9_i1fjabg/348s.jpg","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:07","Fast Food,
Brazilian","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Fast Food,
Brazilian",Denver
La Pergoletta,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"1802 Hillhurst Ave, Los Angeles, CA 90027",(323) 664-8259,john@doe.com,lapergoletta.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media1.fl.yelpcdn.com/bphoto/XGbUokX5vmY031dlghvdnA/ls.jpg,
https://s3-media1.fl.yelpcdn.com/bphoto/MZ8yN3hOzj8WnQPYuNWxwQ/ls.jpg,
https://s3-media2.fl.yelpcdn.com/bphoto/k3bK3pCKk43EhKAu-b0Gqw/ls.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/9OHddCoYLozPGE0S0NNa9w/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/SH2HPc3T8Am_b1irt_f08A/348s.jpg,
https://s3-media2.fl.yelpcdn.com/bphoto/hCW0an49MdFL_VlCA_YIew/348s.jpg,
https://s3-media2.fl.yelpcdn.com/bphoto/QlASrtdVVjrIU5KkBI4XYw/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/_-Xj1hdMLO2Ht2igKa5N3w/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/gbyTkHKEMp-qz5mNhbH4cA/348s.jpg,","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:08",Italian,"Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking",Italian,Los Angeles
Bestia,"Located in a busy area, it is a fine dining establishment in the city for family. An authentic place for food lovers. In 1979, they began sharing the  way of preparing meat. Today, still expertly grill each of our 20 cuts of meat and offer you award-winning delicious deserts. ",Quality is everything. Eat Healthy Eat Fresh.,"2121 E 7th Pl, Los Angeles, CA 90021",(213) 514-5724,john@doe.com,bestiala.com,https://twitter.com/listingprowp,https://www.facebook.com/listingprowp/,https://linkedin.com,https://www.youtube.com/channel/UCAEk953dvRPryuhizR3JdLw,https://instagram.com,https://youtu.be/4SraThqUPSE,claimed,Do they offer free drink?|Is this place kids friendly?|Do they accept tips?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce sed neque consequat, tincidunt tortor ac|pellentesque lorem. Maecenas erat justo, ornare et interdum sit amet, lacinia eget mi. Cras sed neque vel erat bibendum iaculis. In enim orci|vestibulum sed faucibus elementum, posuere quis lectus. Ut placerat ex at fermentum laoreet. Fusce ultricies interdum nunc quis molestie. ","https://s3-media1.fl.yelpcdn.com/bphoto/NS6pMR2baXrs0gvEWBCJuA/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/S-tYIvhT_i0A-KECjjC1RQ/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/HyWAM5cU6M3xciajpP8qDg/348s.jpg,
https://s3-media2.fl.yelpcdn.com/bphoto/ssMVl0EGk3QXfX2DCV3OwA/348s.jpg,
https://s3-media2.fl.yelpcdn.com/bphoto/D2ymdmvrQjBv4JhTx0Nmgg/348s.jpg,
https://s3-media1.fl.yelpcdn.com/bphoto/I0ZM4E_TO0Bq-uZoHbZ8fg/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/bexo54Pf7SzudlLC7M-eLA/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/2TzrdLBaHtXVgr0AsGaOZw/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/k_6hMO1Pe_38SeotlZHhGQ/348s.jpg,
https://s3-media3.fl.yelpcdn.com/bphoto/piVfDN8u1u4H-xeFeH-nYA/348s.jpg,
https://s3-media4.fl.yelpcdn.com/bphoto/l-TR4vbfiLFG2hzb-xJUsA/348s.jpg,","Monday,09:00,17:00|Tuesday,09:00,15:00|Wednesday,09:00,15:00|Thursday,09:00,15:00|Friday,09:00,15:00|Saturday,09:00,13:00|Sunday,08:00,18:09","Italian,
Salad,
Cocktail Bars","Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Wheelchair Accessible,Dogs Allowed,Wi-Fi,Smoking Allowed,Pets Friendly,Street Parking","Italian,
Salad,
Cocktail Bars",Los Angeles
